hru_id,cha_to_id,cha_from_id,area_ps,vol_ps,area_es,vol_es,k,evap_co,shp_co1,shp_co2,rel,sed,nut
"10097, 10098, 10112",105,41,0.13,0.168,0.1564,0.184,0,0.6,,,endine_daysP,sedres1,nutres2
"10103, 10108, 10113",129,51,0.39,0.484,0.45305,0.533,0,0.6,,,endine_daysP,sedres1,nutres2
"10129, 10130, 10131",130,49,0.31,0.392,0.36635,0.431,0,0.6,,,endine_daysP,sedres1,nutres2
"10167, 10183, 10184",131,56,0.31,0.395,0.3689,0.434,0,0.6,,,endine_daysP,sedres1,nutres2
"10110, 10111, 10153, 10154",132,28,0.32,0.404,0.37825,0.445,0,0.6,,,endine_daysP,sedres1,nutres2
"10162, 10163",133,9,0.32,0.407,0.3808,0.448,0,0.6,,,endine_daysP,sedres1,nutres2
"4262, 9786",148,25,0.31,0.387,0.3621,0.426,0,0.6,,,endine_daysP,sedres1,nutres2
"8087, 9787",149,148,0.33,0.415,0.3876,0.456,0,0.6,,,endine_daysP,sedres1,nutres2
"10185, 10186, 10187, 10188",150,24,0.64,0.801,0.7497,0.882,0,0.6,,,endine_daysP,sedres1,nutres2
"5600, 9557, 10040",151,15,0.32,0.401,0.374,0.44,0,0.6,,,endine_daysP,sedres1,nutres2
9558,152,21,0.25,0.319,0.29835,0.351,0,0.6,,,endine_daysP,sedres1,nutres2
"10100, 10114, 10115",153,154,0.33,0.413,0.38675,0.455,0,0.6,,,endine_daysP,sedres1,nutres2
"10099, 10116, 10132, 10133, 10174, 10179, 10180, 10181, 10182",154,38,0.64,0.804,0.75225,0.885,0,0.6,,,endine_daysP,sedres1,nutres2
"10093, 10141",155,113,0.37,0.465,0.43435,0.511,0,0.6,,,endine_daysP,sedres1,nutres2
"10150, 10151, 10152",156,157,0.34,0.425,0.3978,0.468,0,0.6,,,endine_daysP,sedres1,nutres2
"10096, 10147",157,40,0.3,0.381,0.35615,0.419,0,0.6,,,endine_daysP,sedres1,nutres2
"10190, 10191",158,86,0.32,0.404,0.3774,0.444,0,0.6,,,endine_daysP,sedres1,nutres2
"10101, 10102, 10117, 10156",159,20,0.32,0.408,0.3808,0.448,0,0.6,,,endine_daysP,sedres1,nutres2
10189,160,105,0.19,0.245,0.22865,0.269,0,0.6,,,endine_daysP,sedres1,nutres2
"10094, 10095, 10137",161,162,0.31,0.388,0.3638,0.428,0,0.6,,,endine_daysP,sedres1,nutres2
"10134, 10138, 10139, 10140",162,163,0.32,0.402,0.3757,0.442,0,0.6,,,endine_daysP,sedres1,nutres2
"10104, 10105, 10142",163,104,0.32,0.408,0.38165,0.449,0,0.6,,,endine_daysP,sedres1,nutres2
